,cubic,a_cubic,fwhm_cubic,I_cubic_1,tetragonal,a_tetragonal,c_tetragonal,fwhm_tetragonal,I_tetragonal_1,I_tetragonal_2,I_tetragonal_3,I_tetragonal_4
107,1,5.662157352733423,3.3712732848983764,5.24477122,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,1,5.858224692970252,5.241728918262533,7.45405882,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,0,5.6875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
110,1,5.860678639569301,6.262005306595918,4.16237174,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
111,1,5.790944826409116,6.570812282450073,5.10934365,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
112,0,5.640625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,1,5.560956361771342,3.535814124656448,2.79772741,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
114,0,5.609375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
115,1,5.791122551555111,4.558290663332346,3.07352456,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
116,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117,0,5.546875,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
118,0,5.53125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
119,1,5.396044110307904,1.5874702426280007,2.99808325,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
120,1,5.731070399895824,3.5014596220956915,6.33615801,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
121,1,5.755740280710135,3.378094521585474,7.28699071,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
122,1,5.731838558656408,4.019941202250489,7.68114137,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,1,5.775315977483692,4.751645576604778,6.19296173,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
124,1,5.65698650113498,4.172346987993469,6.14563242,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,1,5.70361622439427,3.65576558268237,5.59508082,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
126,1,5.706020568916171,4.22806638087842,6.29370014,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
127,1,5.675587699696913,3.484125227403377,5.11475193,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
128,1,5.623663473364043,2.505371471717199,3.95132449,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
129,1,5.547178953609143,4.4799562124856225,3.8118362,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
130,1,5.654610577350519,4.060355601564329,4.03793866,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
131,1,5.55097595398582,2.256301258722676,4.43493499,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,1,5.63850926574652,4.720202928422435,4.87860124,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
133,0,5.625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
134,0,5.59375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
136,0,5.5625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,1,5.5594436751194864,5.240207752042875,3.69878734,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,1,5.6783386530586615,4.282876043527604,7.83534033,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
139,1,5.809565896526383,3.922581086367221,7.47621324,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
