,X (mm),Y (mm),Si (at. %),Ge (at. %),Sn (at. %),I (A),m (g),ρ (g/cm³),l (mg/cm²),d (µm)
129,-21.25,48.15,0.3451965911213095,0.39668731175962946,0.258116097119061,5.499760672122026e-07,3.225041208450772e-07,5.7836809,0.073,0.126
130,-26.25,48.15,0.37345112007931,0.3666389465145712,0.25990993340611884,5.594927471430166e-07,3.225041208450772e-07,5.7629251,0.073,0.126
131,-31.25,48.15,0.401126939888972,0.33813085069083815,0.2607422094201899,5.53899622534653e-07,3.136683915068559e-07,5.7388867,0.071,0.123
132,-36.25,48.15,0.4352918217929905,0.3068333521587926,0.25787482604821693,5.519152145339571e-07,3.0483266216863466e-07,5.6943839,0.069,0.122
133,-41.25,48.15,0.4719490913678938,0.2742341552817682,0.253816753350338,5.514369765660759e-07,2.9599693283041336e-07,5.6424007,0.067,0.119
134,-46.25,48.15,0.49867291252028423,0.25196135307023476,0.24936573440948098,5.300989800173581e-07,2.7832547415397076e-07,5.5952096,0.063,0.112
135,-51.25,48.15,0.536515711561018,0.22600496335595704,0.23747932508302502,5.325353441355258e-07,2.694897448157494e-07,5.5056738,0.061,0.111
136,-56.25,48.15,0.5645315783633933,0.20652584941273264,0.22894257222387415,5.206671303732497e-07,2.5623615080841754e-07,5.4355513,0.058,0.106
137,-61.25,48.15,0.5936815298653021,0.18659394427077472,0.21972452586392305,4.810918263910905e-07,2.2972896279375362e-07,5.3568549999999995,0.052,0.098
138,23.75,53.15,0.17612619546839653,0.5984909353520108,0.22538286917959263,4.643185735174986e-07,2.9599693283041336e-07,5.833168100000001,0.067,0.116
139,18.75,53.15,0.19591860974355108,0.57294836585222,0.2311330244042291,5.030978826009046e-07,3.180862561759665e-07,5.8332588,0.072,0.123
140,13.75,53.15,0.1891920289178097,0.5685918109784163,0.24221616010377417,5.046013770202505e-07,3.225041208450772e-07,5.8699635,0.073,0.125
141,8.75,53.15,0.21992474289662947,0.5326739985988689,0.2474012585045016,5.193023192643067e-07,3.269219855141878e-07,5.8599564,0.074,0.126
142,3.75,53.15,0.2335107102474893,0.5124942348255122,0.25399505492699853,5.284664079668195e-07,3.313398501832985e-07,5.8677308,0.075,0.128
143,-1.25,53.15,0.2498556560460192,0.4852528926368268,0.26489145131715397,5.442241233554609e-07,3.4017557952151985e-07,5.8856254,0.077,0.131
